accession	strain	date	date_released	date_updated	region	country	division	location	length	host	is_lab_host	sra_accessions	authors	full_authors	institution	submitter_country	sample_type	url
EU624735	U2228	2007-02-16	2009-04-01	2010-05-07	Asia	Thailand			181	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Boongird,K.,Wanghongsa,S.,Ratanasetyuth,N.,Supavonwong,P.,Saengsen,D.,Gongal,G.N.,Hemachudha,T.	Chulalongkorn University, Medicine	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/EU624735
EU624736	U2236	2007-02-16	2009-04-01	2010-05-07	Asia	Thailand			181	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Boongird,K.,Wanghongsa,S.,Ratanasetyuth,N.,Supavonwong,P.,Saengsen,D.,Gongal,G.N.,Hemachudha,T.	Chulalongkorn University, Medicine	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/EU624736
FJ648076	1248	2004-02-18	2013-02-01	2016-07-24	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ngamprasertwong,T.,Supavonwong,P.,Phumesin,P.,Ratanasetyuth,N.,Boongird,K.,Wanghongsa,S.,Hemachudha,T.	Chulalongkorn University Hospital, Medicine	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/FJ648076
FJ648077	U2876	2008-04-03	2013-02-01	2016-07-24	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ngamprasertwong,T.,Supavonwong,P.,Phumesin,P.,Ratanasetyuth,N.,Boongird,K.,Wanghongsa,S.,Hemachudha,T.	Chulalongkorn University Hospital, Medicine	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/FJ648077
FJ648079	U2903	2008-04-03	2013-02-01	2016-07-24	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ngamprasertwong,T.,Supavonwong,P.,Phumesin,P.,Ratanasetyuth,N.,Boongird,K.,Wanghongsa,S.,Hemachudha,T.	Chulalongkorn University Hospital, Medicine	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/FJ648079
FJ648081	U2909	2008-05-01	2013-02-01	2016-07-24	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ngamprasertwong,T.,Supavonwong,P.,Phumesin,P.,Ratanasetyuth,N.,Boongird,K.,Wanghongsa,S.,Hemachudha,T.	Chulalongkorn University Hospital, Medicine	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/FJ648081
FJ648082	U2918	2008-05-01	2013-02-01	2016-07-24	Asia	Thailand			357	Pteropus lylei			Wacharapluesadee et al.	Wacharapluesadee,S.,Ngamprasertwong,T.,Supavonwong,P.,Phumesin,P.,Ratanasetyuth,N.,Boongird,K.,Wanghongsa,S.,Hemachudha,T.	Chulalongkorn University Hospital, Medicine	Thailand	urine	https://www.ncbi.nlm.nih.gov/nuccore/FJ648082
KC903169	PU21	2009-05-XX	2013-08-12	2013-08-12	Asia	Indonesia	North Sumatra	Deli Serdang	251	Pteropus vampyrus			Sendow et al.	Sendow,I.,Ratnawati,A.,Taylor,T.,Abdul Adjid,R.M.,Saepulloh,M.,Barr,J.,Daniels,P.,Field,H.	Queensland Centre for Emerging Infectious Diseases, Biosecurity Queensland, Department of Agriculture, Fisheries & Forestry	Australia		https://www.ncbi.nlm.nih.gov/nuccore/KC903169
KC903171	PU18	2009-05-XX	2013-08-12	2013-08-12	Asia	Indonesia	North Sumatra	Deli Serdang	251	Pteropus vampyrus			Sendow et al.	Sendow,I.,Ratnawati,A.,Taylor,T.,Abdul Adjid,R.M.,Saepulloh,M.,Barr,J.,Daniels,P.,Field,H.	Queensland Centre for Emerging Infectious Diseases, Biosecurity Queensland, Department of Agriculture, Fisheries & Forestry	Australia		https://www.ncbi.nlm.nih.gov/nuccore/KC903171
MH891774	MCVRAJ1236/2018	2018-05-17	2018-11-10	2018-11-10	Asia	India	Calicut	Kerala	2043	Homo sapiens			Arunkumar et al.	Arunkumar,G.,Chandni,R.,Mourya,D.T.,Singh,S.K.,Sadanandan,R.,Sudan,P.,Bhargava,B.	Manipal Academy of Higher Education (MAHE), Manipal Centre for Virus Research	India	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MH891774
MH891775	MCVRAJ1236/2018	2018-05-17	2018-11-10	2018-11-10	Asia	India	Calicut	Kerala	1247	Homo sapiens			Arunkumar et al.	Arunkumar,G.,Chandni,R.,Mourya,D.T.,Singh,S.K.,Sadanandan,R.,Sudan,P.,Bhargava,B.	Manipal Academy of Higher Education (MAHE), Manipal Centre for Virus Research	India	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MH891775
MK575064	NiV/BD/P.medius/EHA/2013/Raypur1405	2013-04-11	2019-06-12	2019-06-12	Asia	Bangladesh	Raypur	Maniganj	18234	Pteropus medius			Anderson et al.	Anderson,D.E.,Islam,A.,Crameri,G.,Todd,S.,Khan,S.U.,Foord,A.,Rahman,M.Z.,Mendenhall,I.H.,Luby,S.P.,Gurley,E.S.,Daszak,P.,Epstein,J.H.,Wang,L.F.,Wang,L.-F.	Duke-NUS, Program of Emerging Infectious Diseases	Singapore	urine	https://www.ncbi.nlm.nih.gov/nuccore/MK575064
MK575065	NiV/BD/P.medius/EHA/2013/Raypur1406	2013-04-11	2019-06-12	2019-06-12	Asia	Bangladesh	Raypur	Maniganj	18234	Pteropus medius			Anderson et al.	Anderson,D.E.,Islam,A.,Crameri,G.,Todd,S.,Khan,S.U.,Foord,A.,Rahman,M.Z.,Mendenhall,I.H.,Luby,S.P.,Gurley,E.S.,Daszak,P.,Epstein,J.H.,Wang,L.F.,Wang,L.-F.	Duke-NUS, Program of Emerging Infectious Diseases	Singapore	urine	https://www.ncbi.nlm.nih.gov/nuccore/MK575065
MK577981	MCL-18-B-63-4/1	2018-06-05	2020-06-30	2020-06-30	Asia	India	Kozhikode District	Kerala State	406	Pteropus medius			Yadav et al.	Yadav,P.	National Institute of Virology, Maximum Containment Laboratory	India	liver, spleen	https://www.ncbi.nlm.nih.gov/nuccore/MK577981
MK577988	MCL-18-B-17-4/1	2018-06-03	2020-06-30	2020-06-30	Asia	India	Kozhikode District	Kerala State	366	Pteropus medius			Yadav et al.	Yadav,P.	National Institute of Virology, Maximum Containment Laboratory	India	feces, abdominal cavity	https://www.ncbi.nlm.nih.gov/nuccore/MK577988
MK673558	808579	1999-03-25	2021-04-19	2021-04-19	Asia	Malaysia			18234	Sus scrofa domesticus			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA		https://www.ncbi.nlm.nih.gov/nuccore/MK673558
MK673560	808585	1999-03-26	2021-04-19	2021-04-19	Asia	Malaysia			18231	Sus scrofa domesticus			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA		https://www.ncbi.nlm.nih.gov/nuccore/MK673560
MK673563	808652	1999-04-03	2021-04-19	2021-04-19	Asia	Malaysia			18231	Canis lupus familiaris			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA		https://www.ncbi.nlm.nih.gov/nuccore/MK673563
MK673564	810398	2004-01-22	2021-04-19	2021-04-19	Asia	Bangladesh			18240	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MK673564
MK673565	810405	2004-02-09	2021-04-19	2021-04-19	Asia	Bangladesh			18235	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	cerebrospinal fluid	https://www.ncbi.nlm.nih.gov/nuccore/MK673565
MK673566	810428	2004-03-29	2021-04-19	2021-04-19	Asia	Bangladesh			18240	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	urine	https://www.ncbi.nlm.nih.gov/nuccore/MK673566
MK673567	810482	2004-04-19	2021-04-19	2021-04-19	Asia	Bangladesh			18245	Homo sapiens			Whitmer et al.	Whitmer,S.L.M.,Lo,M.K.,Sazzad,H.M.S.,Zufan,S.,Gurley,E.S.,Sultana,S.,Amman,B.,Ladner,J.T.,Rahman,M.Z.,Doan,S.,Satter,S.M.,Flora,M.S.,Montgomery,J.M.,Nichol,S.T.,Spiropoulou,C.F.,Klena,J.D.,Zufan,S.E.	Centers for Disease Control and Prevention, Viral Special Pathogens	USA	oronasopharynx	https://www.ncbi.nlm.nih.gov/nuccore/MK673567
